name,name_local_hi,name_local_kn,name_local_ta,name_local_bn,category,sub_category,veg_type,cuisine_regions,kcal,protein_g,carb_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_a_ug,vitamin_c_mg,vitamin_d_ug,vitamin_b12_ug,folate_ug,omega3_g,gi,glycemic_load_per_100g,allergens,fodmap_level,disease_allowed,disease_restricted,seasonality,cost_tier,unit_cost_inr,default_portion_g,default_portion_desc,source
Coffee (Black, Brewed),काली कॉफी,ಬ್ಲಾಕ್ ಕಾಫಿ,கருப்பு காபி,কালো কফি,BEVERAGE,brewed,VEG,pan_indian,2,0.3,0,0,0,0,2,49,2,0.0,0,0,0,0,1,0.0,0,0,,low,alertness,gerd;anxiety;hypertension;pregnancy,all,standard,500,200,1 cup,IFCT-2017-est
Lemon (Juice),नींबू रस,ನಿಂಬೆ ರಸ,எலுமிச்சை சாறு,লেবু,FRUIT,citrus,VEG,pan_indian,22,0.4,6.9,0.2,0.3,2.5,2,103,6,0.1,1,38.7,0,0,11,0.0,20,1,citrus,low,vitamin_c;digestion,gerd;ulcer,all,economy,3,5,1 tsp,IFCT-2017-est
Lemon (Whole),नींबू,ನಿಂಬೆ,எலுமிச்சை,লেবু,FRUIT,citrus,VEG,pan_indian,29,1.1,9.3,0.3,2.8,2.5,2,138,26,0.6,1,53.0,0,0,11,0.03,20,1,citrus,low,vitamin_c;detox,gerd;ulcer,all,economy,5,30,1 small,IFCT-2017-est
Tender Coconut Water,नारियल पानी,ಎಳನೀರು,இளநீர்,ডাবের জল,BEVERAGE,natural,VEG,coastal;south_indian,19,0.7,3.7,0.2,1.1,2.6,105,250,24,0.3,0,2.4,0,0,3,0.0,3,0,,low,hydration;electrolytes;summer;pregnancy,ckd_late,summer,standard,40,200,1 glass,IFCT-2017-est
Yogurt (Low Fat Plain),कम वसा दही,ಕಡಿಮೆ ಕೊಬ್ಬಿನ ಮೊಸರು,குறைந்த கொழுப்பு தயிர்,কম ফ্যাটের দই,DAIRY,fermented,VEG,pan_indian,63,5.0,7.0,1.5,0,7.0,46,234,143,0.1,7,0.5,0.1,0.5,11,0.02,11,1,dairy,low,gut_healing;weight_loss;pcos,lactose_severe,all,standard,80,150,½ cup,IFCT-2017-est
Bread (Whole Wheat),ब्राउन ब्रेड,ಬ್ರೌನ್ ಬ್ರೆಡ್,பழுப்பு ரொட்டி,ব্রাউন পাঁউরুটি,PROCESSED,bread,VEG,pan_indian,247,13.0,41.0,4.2,7.0,5.6,400,248,107,2.5,0,0,0,0,29,0.05,52,21,gluten,moderate,,coeliac;diabetes_t2_strict,all,economy,40,30,1 slice,IFCT-2017-est
Idli Batter (Rice-Urad),इडली बैटर,ಇಡ್ಲಿ ಹಿಟ್ಟು,இட்லி மாவு,ইডলি ব্যাটার,PROCESSED,batter,VEG,south_indian,135,4.0,28.0,0.5,1.5,0.5,150,80,15,1.0,0,0,0,0,40,0.02,55,15,,low,,,all,economy,40,60,batter for 1 idli,IFCT-2017-est
Dosa Batter (Rice-Urad),डोसा बैटर,ದೋಸೆ ಹಿಟ್ಟು,தோசை மாவு,দোসা ব্যাটার,PROCESSED,batter,VEG,south_indian,168,5.0,32.0,2.0,1.5,0.5,250,90,15,1.0,0,0,0,0,38,0.02,58,18,,low,,,all,economy,40,60,batter for 1 dosa,IFCT-2017-est
Whey Protein (Plain),व्हे प्रोटीन,ವೇ ಪ್ರೋಟೀನ್,வே புரோட்டீன்,হোয়ে প্রোটিন,PROCESSED,supplement,VEG,pan_indian,380,80.0,5.0,5.0,1.0,3.0,150,160,400,0.6,0,0,3.5,1.5,40,0.05,0,0,dairy,low,muscle_gain;high_protein,lactose,all,premium,2500,30,1 scoop,IFCT-2017-est
Tofu Silken,सिल्कन टोफू,ಸಿಲ್ಕನ್ ತೋಫು,ஸில்க் டோஃபு,সিল্কেন তোফু,PULSE_LEGUME,soy_product,VEG,pan_indian,55,5.0,2.0,3.0,0.5,0.5,8,150,200,1.0,0,0,0,0,12,0.20,15,1,soy,low,vegan;menopause,thyroid,all,standard,90,80,½ cup,IFCT-2017-est
Soy Milk (Plain),सोया दूध,ಸೋಯಾ ಹಾಲು,சோயா பால்,সয়া দুধ,PULSE_LEGUME,beverage,VEG,pan_indian,54,3.3,6.3,1.8,0.6,3.7,51,118,25,0.6,32,0,1.1,1.2,18,0.06,30,2,soy,low,vegan;heart,thyroid,all,standard,90,200,1 cup,IFCT-2017-est
Almond Milk (Unsweetened),बादाम दूध,ಬಾದಾಮಿ ಹಾಲು,பாதாம் பால்,বাদাম দুধ,NUT_OILSEED,beverage,VEGAN,pan_indian,17,0.6,0.6,1.5,0.3,0.0,63,67,200,0.3,0,0,1.0,0,0,0.0,30,0,nut,low,vegan;lactose_free,allergy_nut,all,premium,150,200,1 cup,IFCT-2017-est
Tinda (Apple Gourd),टिंडा,ಟಿಂಡಾ,டிண்டா,টিন্ডা,VEGETABLE,gourd,VEG,north_indian,21,1.4,4.0,0.2,2.0,1.5,2,165,24,0.6,0,18.0,0,0,7,0.0,15,1,,low,weight_loss;summer,,summer,economy,30,80,1 cup,IFCT-2017-est
Ash Gourd (Petha),पेठा,ಬೂದು ಕುಂಬಳ,நீர் பூசணி,চালকুমড়া,VEGETABLE,gourd,VEG,pan_indian,13,0.4,3.0,0.2,2.9,1.9,111,6,19,0.4,1,13.0,0,0,5,0.0,15,1,,low,weight_loss;cooling;diabetes_t2;ayurveda,,summer,economy,15,80,1 cup,IFCT-2017-est
Raw Banana (Plantain),कच्चा केला,ಬಾಳೆಕಾಯಿ,வாழைக்காய்,কাঁচকলা,VEGETABLE,starchy,VEG,kerala;south_indian,89,1.0,21.7,0.5,2.3,1.5,4,499,3,0.6,18,18.0,0,0,22,0.03,40,9,,low,gut_healing;ibs_d;diabetes_t2,,all,economy,30,80,1 cup,IFCT-2017-est
Yam (Suran),सूरन,ಸುವರ್ಣಗಡ್ಡೆ,கருணைக்கிழங்கு,সুরন,ROOT_TUBER,tuber,VEG,pan_indian,118,1.5,27.9,0.2,4.1,0.5,9,816,17,0.5,7,17.1,0,0,23,0.0,54,15,,moderate,diabetes_t2,gout;arthritis;jain_avoid,all,economy,30,80,small piece,IFCT-2017-est
Colocasia (Arbi),अरबी,ಕೆಸುವಿನ ಗಡ್ಡೆ,சேப்பங்கிழங்கு,কচু,ROOT_TUBER,tuber,VEG,pan_indian,112,1.5,26.5,0.2,4.1,0.4,11,591,43,0.6,4,4.5,0,0,22,0.0,55,15,,moderate,potassium;digestion,gout;jain_avoid,all,economy,30,80,1 cup,IFCT-2017-est
Beetroot Greens,चुकंदर पत्ता,ಬೀಟ್ರೂಟ್ ಸೊಪ್ಪು,பீட்ரூட் கீரை,বিট পাতা,GLV,green_leafy,VEG,pan_indian,22,2.2,4.3,0.1,3.7,0.5,226,762,117,2.6,316,30.0,0,0,15,0.05,15,1,,low,iron;vitamin_a,kidney_stones;warfarin,winter,economy,20,100,1 cup raw,IFCT-2017-est
Lotus Stem (Kamal Kakdi),कमल ककड़ी,ತಾವರೆ ಕಾಂಡ,தாமரை தண்டு,কমল কাকড়ি,VEGETABLE,aquatic,VEG,kashmir;bengali,74,2.6,17.2,0.1,4.9,0.5,40,556,45,1.2,0,44.0,0,0,8,0.0,33,5,,low,heart;diabetes_t2,,winter,standard,80,80,1 cup,IFCT-2017-est
Banana Stem,केला तना,ಬಾಳೆ ದಿಂಡು,வாழைத்தண்டு,কলার থোড়,VEGETABLE,stem,VEG,kerala;tamil_nadu,40,1.0,8.0,0.4,2.5,0.5,5,300,30,1.6,0,12.0,0,0,5,0.0,15,1,,low,weight_loss;kidney_stones;diabetes_t2;detox,,all,economy,30,80,1 cup,IFCT-2017-est
Drumstick (Moringa Pod),सहजन फली,ನುಗ್ಗೆಕಾಯಿ,முருங்கைக்காய்,সজনে ডাঁটা,VEGETABLE,pod,VEG,south_indian;pan_indian,37,2.1,8.5,0.2,3.2,3.0,30,461,30,0.4,4,141.0,0,0,44,0.0,15,1,,low,vitamin_c;immunity;diabetes_t2;anaemia,gout,summer,economy,40,80,1 cup chopped,IFCT-2017-est
Curd Rice Mix (cooked),दही चावल,ಮೊಸರನ್ನ,தயிர் சாதம்,দই ভাত,PROCESSED,cooked_dish,VEG,south_indian,90,2.5,15.0,2.0,0.6,2.0,180,90,40,0.4,15,1.0,0,0.1,5,0.02,55,8,dairy,low,gut_healing;summer;cooling,lactose,summer,economy,30,150,1 cup,Clinic-Curated
Spinach Cooked,पका पालक,ಬೇಯಿಸಿದ ಪಾಲಕ್,வேக வைத்த கீரை,সিদ্ধ পালং,GLV,cooked,VEG,pan_indian,23,3.0,3.8,0.3,2.4,0.4,70,466,136,3.6,524,9.8,0,0,146,0.14,15,1,,low,iron;b12;anaemia,kidney_stones;warfarin,winter,economy,40,150,1 cup,IFCT-2017-est
Dal (cooked, mixed),पकी दाल,ಬೇಯಿಸಿದ ಬೇಳೆ,வேக வைத்த பருப்பு,সিদ্ধ ডাল,PULSE_LEGUME,cooked,VEG,pan_indian,116,9.0,20.0,0.4,8.0,1.8,250,370,30,3.3,8,1.5,0,0,180,0.05,29,6,,moderate,high_protein;diabetes_t2;pcos,gout,all,economy,15,150,1 small bowl,Clinic-Curated
Roti (Whole Wheat, cooked),रोटी,ರೊಟ್ಟಿ,கோதுமை ரொட்டி,রুটি,CEREAL_MILLET,cooked,VEG,pan_indian,264,9.1,49.0,3.7,7.0,2.4,300,170,45,2.5,0,0,0,0,30,0.05,68,33,gluten,moderate,,coeliac,all,economy,5,40,1 medium roti,IFCT-2017-est
Idli (Steamed),इडली,ಇಡ್ಲಿ,இட்லி,ইডলি,PROCESSED,cooked_dish,VEG,south_indian,150,4.5,28.0,0.5,1.5,0.5,180,90,15,1.0,0,0,0,0,40,0.02,55,15,,low,light;easy_to_digest;summer,,all,economy,8,80,1 medium idli,Clinic-Curated
Dosa (Plain, cooked),दोसा,ದೋಸೆ,தோசை,দোসা,PROCESSED,cooked_dish,VEG,south_indian,168,5.5,32.0,2.5,1.5,0.5,250,110,15,1.0,0,0,0,0,38,0.02,58,18,,low,,,all,economy,15,60,1 medium dosa,Clinic-Curated
Upma (Suji, cooked),उपमा,ಉಪ್ಪಿಟ್ಟು,உப்மா,উপমা,PROCESSED,cooked_dish,VEG,south_indian,180,5.0,28.0,5.0,1.5,1.0,400,150,25,1.2,15,3.0,0,0,30,0.05,66,18,gluten,low,,coeliac,all,economy,20,150,1 cup,Clinic-Curated
Poha (cooked),पोहा,ಅವಲಕ್ಕಿ ಉಪ್ಪಿಟ್ಟು,அவல் உப்மா,চিড়ার পোলাও,PROCESSED,cooked_dish,VEG,pan_indian,180,4.5,28.0,5.5,1.0,1.5,350,120,20,2.5,30,8.0,0,0,15,0.05,65,18,,low,,,all,economy,15,150,1 cup,Clinic-Curated
Khichdi (Moong, cooked),खिचड़ी,ಖಿಚಡಿ,கிச்சடி,খিচুড়ি,PROCESSED,cooked_dish,VEG,pan_indian,134,6.0,21.0,2.5,2.5,0.5,300,200,25,1.5,8,1.5,0,0,40,0.03,55,12,,low,convalescence;light;easy_to_digest;gut_healing;ibs_c,,all,economy,15,200,1 bowl,Clinic-Curated
Sambar (cooked),सांभर,ಸಾಂಬಾರ್,சாம்பார்,সাম্বার,PROCESSED,cooked_dish,VEG,south_indian,80,4.5,12.0,1.8,3.0,1.5,400,300,40,1.8,40,8.0,0,0,40,0.05,40,5,,moderate,,,all,economy,15,180,1 cup,Clinic-Curated
Rasam (cooked),रसम,ರಸಂ,ரசம்,রসম,PROCESSED,cooked_dish,VEG,south_indian,35,1.5,6.0,0.5,1.0,1.0,500,150,15,0.5,5,5.0,0,0,8,0.02,15,1,,low,digestion;summer,gerd,all,economy,10,150,1 cup,Clinic-Curated
Coconut Chutney,नारियल चटनी,ತೆಂಗಿನ ಚಟ್ನಿ,தேங்காய் சட்னி,নারকেল চাটনি,PROCESSED,accompaniment,VEG,south_indian,170,3.0,7.0,15.0,4.5,3.0,250,180,15,1.0,0,2.0,0,0,12,0.0,42,3,,low,,hyperlipidemia,all,economy,15,30,2 tbsp,Clinic-Curated
Buttermilk Spiced (Masala Chaas),मसाला छाछ,ಮಸಾಲಾ ಮಜ್ಜಿಗೆ,மசாலா மோர்,মশলা ঘোল,DAIRY,fermented,VEG,pan_indian,42,1.8,4.0,1.8,0.2,3.0,200,150,90,0.2,15,1.0,0.1,0.3,4,0.02,15,1,dairy,low,gut_healing;digestion;summer,lactose_severe,summer,economy,20,200,1 glass,Clinic-Curated
Ginger-Lemon Water,अदरक नींबू पानी,ಶುಂಠಿ ನಿಂಬೆ ನೀರು,இஞ்சி எலுமிச்சை நீர்,আদা লেবু জল,BEVERAGE,infusion,VEG,pan_indian,6,0.1,1.5,0,0.1,0.4,1,30,5,0.1,0,5.0,0,0,2,0.0,0,0,,low,digestion;detox;nausea;early_morning,gerd_severe,all,economy,5,200,1 glass,Clinic-Curated
Methi Water (Soaked),मेथी पानी,ಮೆಂತ್ಯ ನೀರು,வெந்தய நீர்,মেথি জল,BEVERAGE,infusion,VEG,pan_indian,5,0.4,1.0,0.1,0.5,0,2,15,3,0.7,0,0,0,0,1,0.01,0,0,,low,diabetes_t2;pcos;hair;digestion;early_morning,,all,economy,5,200,1 glass,Clinic-Curated
Plain Water,पानी,ನೀರು,தண்ணீர்,জল,BEVERAGE,water,VEG,pan_indian,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0.0,0,0,,low,hydration;always,,all,economy,1,250,1 glass,IFCT-2017-est
Sprouted Chana (Black),काला चना अंकुर,ಕಪ್ಪು ಕಡಲೆ ಮೊಳಕೆ,கருப்பு கடலை முளை,কালো ছোলা অঙ্কুর,PULSE_LEGUME,sprout,VEG,pan_indian,120,7.0,20.0,2.0,5.0,2.0,40,300,55,3.5,4,5.0,0,0,200,0.05,30,5,,moderate,protein;diabetes_t2;weight_loss;pcos,,all,economy,15,50,1 cup,Clinic-Curated
Egg Curry (cooked),अंडा करी,ಮೊಟ್ಟೆ ಸಾರು,முட்டை குழம்பு,ডিম কারি,PROCESSED,cooked_dish,EGG,pan_indian,135,8.5,5.0,8.5,1.0,2.0,400,200,40,1.5,80,3.0,1.0,0.5,30,0.05,15,1,egg,low,protein,,all,standard,30,200,1 cup with 1 egg,Clinic-Curated
Chicken Curry (cooked),चिकन करी,ಕೋಳಿ ಸಾರು,கோழி குழம்பு,চিকেন কারি,PROCESSED,cooked_dish,NON_VEG,pan_indian,150,15.0,5.0,8.0,1.0,2.0,400,250,30,1.2,15,4.0,0.1,0.4,12,0.10,15,1,,low,protein,gout,all,standard,80,200,1 cup,Clinic-Curated
Fish Curry (cooked),मछली करी,ಮೀನು ಸಾರು,மீன் குழம்பு,মাছের ঝোল,PROCESSED,cooked_dish,NON_VEG,coastal;bengali,120,14.0,4.0,5.5,1.0,1.5,400,250,80,1.0,18,3.0,2.0,1.8,12,0.50,15,1,fish,low,heart;omega3;protein,gout,all,standard,80,200,1 cup,Clinic-Curated
Lassi (Salted),नमकीन लस्सी,ಉಪ್ಪಿನ ಲಸ್ಸಿ,உப்பு லஸ்ஸி,নোনতা লস্যি,DAIRY,beverage,VEG,punjab,45,2.0,3.5,2.5,0.0,3.5,200,160,100,0.1,18,0.5,0.1,0.3,5,0.02,15,1,dairy,low,gut_healing;digestion;summer,lactose;hypertension,summer,economy,30,200,1 glass,Clinic-Curated
Black Sesame Seeds,काला तिल,ಕರಿ ಎಳ್ಳು,கருப்பு எள்,কালো তিল,NUT_OILSEED,seed,VEG,pan_indian,573,17.7,25.0,49.7,11.8,0.3,11,468,975,14.6,1,0,0,0,97,0.30,0,0,sesame,moderate,calcium;osteoporosis;anaemia;hair,sesame_allergy,winter,economy,200,10,1 tbsp,IFCT-2017-est
Sago (Sabudana),साबूदाना,ಸಬ್ಬಕ್ಕಿ,ஜவ்வரிசி,সাবুদানা,CEREAL_MILLET,starch,VEG,pan_indian,358,0.2,87.0,0.0,0.9,0.0,5,11,20,1.6,0,0,0,0,3,0.0,67,58,,low,fasting;easy_to_digest,diabetes_t2,all,economy,18,30,2 tbsp dry,IFCT-2017-est
Tinda Curry,टिंडा सब्जी,ಟಿಂಡಾ ಪಲ್ಯ,டிண்டா கறி,টিন্ডার তরকারি,PROCESSED,cooked_dish,VEG,north_indian,45,1.5,5.0,2.5,2.0,1.5,250,180,30,0.6,5,15.0,0,0,12,0.05,15,1,,low,weight_loss;diabetes_t2;summer,,summer,economy,15,150,1 cup,Clinic-Curated
Palak Paneer (cooked),पालक पनीर,ಪಾಲಕ ಪನೀರ್,கீரை பன்னீர்,পালং পনির,PROCESSED,cooked_dish,VEG,north_indian,150,8.5,5.0,11.0,2.5,1.5,400,300,200,2.5,300,15.0,0.2,0.5,80,0.10,15,1,dairy,low,protein;calcium;iron,lactose;hyperlipidemia,winter,standard,80,200,1 cup,Clinic-Curated
Vegetable Stir Fry (mixed),मिक्स सब्जी,ಮಿಶ್ರ ತರಕಾರಿ,கலந்த காய்கறி,মিশ্র সবজি,PROCESSED,cooked_dish,VEG,pan_indian,80,2.5,10.0,4.0,3.0,3.0,300,250,50,1.0,200,30.0,0,0,40,0.05,15,1,,low,weight_loss;balanced,,all,economy,20,150,1 cup,Clinic-Curated
Methi Thepla,मेथी थेपला,ಮೆಂತ್ಯ ರೊಟ್ಟಿ,வெந்தய ரொட்டி,মেথি থেপলা,PROCESSED,cooked_dish,VEG,gujarati,250,7.0,40.0,7.0,5.5,1.5,400,200,80,3.5,200,15.0,0,0,40,0.10,55,22,gluten,moderate,diabetes_t2;pcos;anaemia,coeliac,all,economy,15,40,1 thepla,Clinic-Curated
Bajra Rotla,बाजरा रोटला,ಸಜ್ಜೆ ರೊಟ್ಟಿ,கம்பு ரொட்டி,বাজরা রুটি,PROCESSED,cooked_dish,VEG,rajasthan;gujarat,265,8.0,48.0,4.0,9.0,0.5,15,300,38,7.0,0,0,0,0,30,0.10,55,26,,low,diabetes_t2;winter;anaemia,,winter,economy,8,50,1 rotla,Clinic-Curated
Jowar Rotla,ज्वार रोटला,ಜೋಳದ ರೊಟ್ಟಿ,சோளம் ரொட்டி,জোয়ার রুটি,PROCESSED,cooked_dish,VEG,karnataka;maharashtra,250,8.5,49.0,2.5,7.5,0.5,12,260,22,2.7,0,0,0,0,18,0.05,62,30,,low,diabetes_t2;weight_loss;pcos,,all,economy,7,50,1 rotla,Clinic-Curated
Ragi Mudde,रागी मुद्दे,ರಾಗಿ ಮುದ್ದೆ,கேழ்வரகு கொழுக்கட்டை,রাগি বল,PROCESSED,cooked_dish,VEG,karnataka,225,5.0,49.0,1.0,8.0,0.5,15,300,250,3.0,2,1.0,0,0,15,0.03,67,33,,low,diabetes_t2;calcium;anaemia;pcos,,all,economy,8,80,1 ball,Clinic-Curated
Vegetable Pulao (cooked),वेज पुलाव,ತರಕಾರಿ ಪುಲಾವ್,காய்கறி புலாவ்,সবজি পুলাও,PROCESSED,cooked_dish,VEG,pan_indian,180,4.0,30.0,5.0,2.0,1.5,400,180,30,1.0,80,5.0,0,0,30,0.05,60,18,,low,,diabetes_t2_strict,all,standard,20,200,1 cup,Clinic-Curated
Chapati (Multigrain),मल्टीग्रेन रोटी,ಮಲ್ಟಿಗ್ರೇನ್ ರೊಟ್ಟಿ,மல்டிகிரெய்ன் ரொட்டி,মাল্টিগ্রেন রুটি,PROCESSED,cooked_dish,VEG,pan_indian,255,9.5,48.0,3.5,9.0,1.5,200,250,60,3.5,5,1.0,0,0,32,0.10,55,26,gluten,moderate,diabetes_t2;weight_loss;pcos,coeliac,all,economy,8,40,1 roti,Clinic-Curated
Stuffed Paratha (Aloo, cooked),आलू पराठा,ಆಲೂ ಪರಾಠ,உருளைக்கிழங்கு பரோட்டா,আলু পরোটা,PROCESSED,cooked_dish,VEG,north_indian,300,6.5,42.0,12.0,4.0,1.5,400,300,55,2.5,5,8.0,0,0,30,0.05,75,32,gluten,low,,diabetes_t2;weight_loss,all,economy,15,80,1 paratha,Clinic-Curated
Vegetable Soup (Clear),वेज सूप,ತರಕಾರಿ ಸೂಪ್,காய்கறி சூப்,সবজির স্যুপ,PROCESSED,cooked_dish,VEG,pan_indian,35,1.5,6.0,0.5,1.5,2.0,300,200,40,0.5,80,15.0,0,0,20,0.02,15,1,,low,light;weight_loss;convalescence,,all,economy,15,200,1 bowl,Clinic-Curated
Tomato Soup,टमाटर सूप,ಟೊಮಾಟೋ ಸೂಪ್,தக்காளி சூப்,টমেটো স্যুপ,PROCESSED,cooked_dish,VEG,pan_indian,55,1.5,10.0,1.0,1.5,5.5,400,250,18,0.8,80,18.0,0,0,15,0.02,40,4,nightshade,low,,gerd,all,economy,15,200,1 bowl,Clinic-Curated
Drumstick Soup,सहजन सूप,ನುಗ್ಗೆ ಸೂಪ್,முருங்கைக்காய் சூப்,সজনের স্যুপ,PROCESSED,cooked_dish,VEG,south_indian,40,2.0,7.0,0.5,2.0,2.0,300,300,30,1.0,0,80.0,0,0,30,0.02,15,1,,low,immunity;diabetes_t2;anaemia;cold,,all,economy,15,200,1 bowl,Clinic-Curated
Curd Smoothie (Mango),आम स्मूदी,ಮಾವಿನ ಸ್ಮೂದಿ,மாம்பழ ஸ்மூதி,আম স্মুদি,DAIRY,beverage,VEG,pan_indian,110,3.5,20.0,2.0,1.0,18.0,40,250,100,0.3,40,15.0,0.1,0.3,15,0.02,55,11,dairy,low,summer,diabetes_t2_strict,summer,standard,40,200,1 glass,Clinic-Curated
Almond Milk Smoothie (Berry),बादाम स्मूदी,ಬಾದಾಮಿ ಸ್ಮೂದಿ,பாதாம் ஸ்மூதி,বাদাম স্মুদি,NUT_OILSEED,beverage,VEGAN,pan_indian,90,2.0,12.0,4.0,2.5,8.0,80,150,250,0.5,2,30.0,1.0,0,15,0.05,40,5,nut,low,vegan;antioxidant;skin,allergy_nut,all,premium,150,200,1 glass,Clinic-Curated
